name,label,crop R(crop_sets),input_method,input_age_min_in_month I,input_age_max_in_month I,input_period_start,input_period_stop,keq D,variant R(product_nature_variants)
old_cattle_compost_on_spring_straw_cereal_during_autumn,Composts de fumiers de bovins vieux de plus de 6 mois,spring_crop,,6,120,6,9,0.15,cattle_compost
old_cattle_compost_on_rape_during_summer,Composts de fumiers de bovins vieux de plus de 6 mois,rape,,6,120,7,9,0.1,cattle_compost
old_cattle_compost_on_autumn_crop_during_autumn,Composts de fumiers de bovins vieux de plus de 6 mois,autumn_crop,,6,120,9,12,0.05,cattle_compost
new_poultry_compost_on_spring_straw_cereal_during_spring,Compost de fientes de volailles avec litière de moins de 6 mois,spring_crop,,0,6,3,6,,poultry_compost
new_poultry_compost_on_rape_during_summer,Compost de fientes de volailles avec litière de moins de 6 mois,rape,,0,6,7,9,,poultry_compost
new_poultry_compost_on_autumn_crop_during_autumn,Compost de fientes de volailles avec litière de moins de 6 mois,autumn_crop,,0,6,9,12,,poultry_compost
old_poultry_compost_on_spring_straw_cereal_during_spring,Compost de fientes de volailles avec litière de 6 mois à 10 mois,spring_crop,,6,10,3,6,,poultry_compost
poultry_guano_on_spring_straw_cereal_during_spring_04,Fientes de volaille avec incorporation immédiate,spring_crop,,0,120,3,6,0.65,poultry_guano
poultry_guano_on_spring_straw_cereal_during_autumn_04,Fientes de volaille avec incorporation immédiate,spring_crop,,0,120,9,12,0.1,poultry_guano
poultry_guano_on_spring_straw_cereal_during_summer_04,Fientes de volaille avec incorporation immédiate,spring_crop,,0,120,6,9,0.1,poultry_guano
poultry_guano_on_autumn_crop_during_spring_04,Fientes de volaille avec incorporation immédiate,autumn_crop,,0,120,9,12,0.1,poultry_guano
poultry_guano_on_spring_straw_cereal_during_spring_05,Fientes de volaille avec incorporation dans les 24H,spring_crop,,0,120,3,6,0.55,poultry_guano
poultry_guano_on_autumn_crop_during_spring_05,Fientes de volaille avec apport en végétation,autumn_crop,,0,120,3,6,0.45,poultry_guano
pig_slurry_on_spring_straw_cereal_during_spring_01,Lisier de porc mixte avec incorporation immédiate,spring_crop,,0,120,3,6,0.7,pig_slurry
pig_slurry_on_spring_straw_cereal_during_autumn_01,Lisier de porc mixte avec incorporation immédiate,spring_crop,,0,120,9,12,0.05,pig_slurry
pig_slurry_on_spring_straw_cereal_during_summer_01,Lisier de porc mixte avec incorporation immédiate,spring_crop,,0,120,6,9,0.05,pig_slurry
pig_slurry_on_rape_during_summer_01,Lisier de porc mixte avec incorporation immédiate,rape,,0,120,6,9,0.05,pig_slurry
pig_slurry_on_autumn_crop_during_autumn_01,Lisier de porc mixte avec incorporation immédiate,autumn_crop,,0,120,9,12,0.05,pig_slurry
pig_slurry_on_spring_straw_cereal_during_spring_02,Lisier de porc mixte  avec incorporation dans les 24H,spring_crop,,0,120,3,6,0.5,pig_slurry
pig_slurry_on_spring_straw_cereal_during_autumn_02,Lisier de porc mixte  avec incorporation dans les 24H,spring_crop,,0,120,9,12,0.05,pig_slurry
pig_slurry_on_spring_straw_cereal_during_summer_02,Lisier de porc mixte  avec incorporation dans les 24H,spring_crop,,0,120,6,9,0.05,pig_slurry
pig_slurry_on_rape_during_summer_02,Lisier de porc mixte  avec incorporation dans les 24H,rape,,0,120,6,9,0.0,pig_slurry
pig_slurry_on_autumn_crop_during_autumn_02,Lisier de porc mixte  avec incorporation dans les 24H,autumn_crop,,0,120,9,12,0.05,pig_slurry
pig_slurry_on_autumn_crop_during_spring_03,Lisier de porc mixte  avec apport en végétation,autumn_crop,,0,120,3,6,0.6,pig_slurry
pig_slurry_on_rape_during_spring_03,Lisier de porc mixte  avec apport en végétation,rape,,0,120,3,6,0.56,pig_slurry
cattle_slurry_on_spring_straw_cereal_during_spring_01,Lisier de bovins avec incorporation immédiate,spring_crop,,0,120,3,6,0.65,cattle_slurry
cattle_slurry_on_spring_straw_cereal_during_autumn_01,Lisier de bovins avec incorporation immédiate,spring_crop,,0,120,9,12,0.1,cattle_slurry
cattle_slurry_on_spring_straw_cereal_during_summer_01,Lisier de bovins avec incorporation immédiate,spring_crop,,0,120,6,9,0.1,cattle_slurry
cattle_slurry_on_rape_during_summer_01,Lisier de bovins avec incorporation immédiate,autumn_crop,,0,120,9,12,0.1,cattle_slurry
cattle_slurry_on_autumn_crop_during_autumn_01,Lisier de bovins avec incorporation immédiate,rape,,0,120,6,9,0.15,cattle_slurry
cattle_slurry_on_spring_straw_cereal_during_spring_02,Lisier de bovins avec incorporation dans les 24H,spring_crop,,0,120,3,6,0.5,cattle_slurry
cattle_slurry_on_rape_during_summer_02,Lisier de bovins avec incorporation dans les 24H,rape,,0,120,6,9,0.1,cattle_slurry
cattle_slurry_on_autumn_crop_during_spring_03,Lisier de bovins avec apport en végétation,autumn_crop,,0,120,3,6,0.5,cattle_slurry
cattle_slurry_on_rape_during_spring_03,Lisier de bovins avec apport en végétation,rape,,0,120,3,6,0.4,cattle_slurry
calf_slurry_on_spring_straw_cereal_during_spring_01,Lisier de veaux avec incorporation immédiate,spring_crop,,0,120,3,6,0.7,calf_slurry
calf_slurry_on_spring_straw_cereal_during_spring_02,Lisier de veaux avec incorporation dans les 24H,spring_crop,,0,120,3,6,0.5,calf_slurry
sugar_vinasse_on_spring_straw_cereal_during_spring,Vinasse de betterave concentrée,spring_crop,,0,120,3,6,0.5,sugar_vinasse
sugar_vinasse_on_beet_during_spring,Vinasse de betterave concentrée,beet,,0,120,3,6,0.65,sugar_vinasse
sugar_vinasse_on_spring_straw_cereal_during_summer,Vinasse de betterave concentrée,spring_crop,,0,120,6,9,0.1,sugar_vinasse
sugar_vinasse_on_autumn_crop_during_autumn,Vinasse de betterave concentrée,autumn_crop,,0,120,9,12,0.15,sugar_vinasse
sugar_vinasse_on_autumn_crop_during_spring,Vinasse de betterave concentrée,autumn_crop,,0,120,3,6,0.45,sugar_vinasse
sugar_vinasse_on_rape_during_summer,Vinasse de betterave concentrée,rape,,0,120,6,9,0.15,sugar_vinasse
sugar_vinasse_on_rape_during_spring,Vinasse de betterave concentrée,rape,,0,120,3,6,0.45,sugar_vinasse
